distance,consume,speed,temp_inside,temp_outside,AC,rain,sun,SP98,cost
12.3,5.2,55,22.5,10,0,0,0,1,1.1378484
24.8,4.0,56,22.5,11,0,0,0,1,1.764768
12.9,5.1,34,22.5,8,0,1,0,1,1.1704040999999998
11.8,4.5,39,22.5,3,0,0,0,1,0.944649
31.4,4.6,62,22.5,11,0,0,0,1,2.5695875999999997
19.0,5.1,53,22.5,4,0,1,0,1,1.7238509999999998
13.0,5.7,38,22.5,3,1,1,0,1,1.3182390000000002
11.8,4.8,42,22.5,2,0,0,0,1,1.0076256
13.0,6.2,32,22.5,4,0,0,0,1,1.433874
11.8,5.0,43,22.5,1,0,0,0,1,1.0496100000000002
27.1,5.0,69,22.5,8,0,0,0,1,2.410545
5.2,4.6,38,22.5,8,0,0,0,1,0.4255368
19.0,4.5,29,22.5,10,0,0,0,0,1.41075
12.4,4.8,38,22.5,1,0,0,0,0,0.9820799999999998
25.2,5.0,55,22.5,9,0,0,0,0,2.0789999999999997
14.3,4.8,36,22.5,10,0,0,0,0,1.13256
11.8,4.6,40,22.5,2,0,0,0,0,0.8956199999999999
16.9,4.5,48,22.5,9,0,0,1,0,1.2548249999999999
12.4,4.6,55,22.5,11,0,0,1,0,0.9411599999999998
17.4,4.4,36,22.5,12,0,0,1,0,1.26324
9.2,5.7,33,22.5,8,0,1,0,0,0.8652599999999999
12.3,5.8,54,22.5,10,0,1,0,0,1.17711
13.0,5.9,32,22.5,10,0,0,0,0,1.2655500000000002
11.8,6.1,16,22.5,6,0,1,0,0,1.18767
13.0,5.7,37,22.5,11,0,1,0,0,1.22265
12.3,5.0,42,22.5,10,0,0,0,0,1.01475
12.3,5.2,57,22.5,15,0,0,1,0,1.05534
12.5,4.3,57,22.5,16,0,0,1,0,0.886875
31.5,4.1,30,22.5,16,0,0,1,0,2.130975
11.8,4.4,42,22.5,8,0,0,0,0,0.8566800000000001
24.9,4.5,53,22.5,14,0,0,0,0,1.848825
17.0,3.9,46,22.5,14,0,0,1,0,1.09395
2.0,8.1,20,22.5,14,0,0,0,0,0.2673
