speed,gas_type,AC,rain,sun,total_consumed,diff_temp
50,SP98,0,1,0,125.93,12.0
40,SP98,0,0,0,65.6,12.0
32,SP98,0,0,0,72.45,3.0
40,SP98,1,1,0,70.4,15.0
41,SP98,0,0,0,72.0,11.0
26,SP98,0,0,0,111.14999999999999,12.0
42,SP98,0,0,0,62.4,14.0
43,SP98,0,0,0,70.83999999999999,6.0
40,SP98,0,0,0,60.8,14.0
50,SP98,0,0,0,144.45000000000002,6.0
40,SP98,0,0,0,113.96000000000001,8.0
44,SP98,0,0,0,208.98,10.0
45,SP98,0,0,1,148.8,2.0
35,SP98,0,0,1,112.32,7.0
30,SP98,0,0,0,33.5,5.0
25,SP98,0,0,1,30.34,4.0
22,SP98,0,0,1,70.92999999999999,-3.0
43,SP98,0,0,0,36.959999999999994,6.0
26,SP98,0,0,0,58.629999999999995,2.0
33,SP98,0,0,0,61.18,4.0
26,SP98,0,0,0,40.67000000000001,-1.0
39,SP98,0,0,1,57.15,-5.0
47,SP98,0,0,0,67.64999999999999,8.0
38,SP98,0,0,0,84.46,1.0
58,SP98,0,0,0,73.35000000000001,6.0
65,SP98,1,0,1,78.54,7.0
54,SP98,0,0,1,142.35,5.0
35,SP98,1,0,1,95.0,7.0
46,SP98,1,0,0,73.04,17.0
32,SP98,1,0,0,134.54999999999998,4.0
42,SP98,0,0,0,60.8,11.0
33,SP98,0,1,0,107.61,12.0
40,SP98,0,0,0,62.4,12.0
34,SP98,0,0,0,63.07,9.0
35,SP98,0,0,0,42.42,6.0
33,SP98,0,0,0,137.17,6.0
60,SP98,0,0,0,74.8,9.0
48,SP98,0,0,1,50.760000000000005,5.0
56,SP98,0,0,1,79.2,5.0
38,SP98,0,0,0,48.59,5.0
53,SP98,0,0,0,60.949999999999996,7.0
51,SP98,0,0,0,111.28,9.0
53,SP98,0,0,0,156.8,7.0
53,SP98,0,0,0,196.93,8.0
80,SP98,0,0,0,970.5999999999999,2.0
90,SP98,0,0,1,1145.33,1.0
27,SP98,0,0,1,91.8,-5.0
52,SP98,0,1,0,69.72000000000001,7.0
43,SP98,0,0,0,106.18999999999998,-2.0
48,SP98,0,0,0,66.0,7.0
29,SP98,0,0,0,86.19,-4.0
49,E10,0,0,0,61.42000000000001,5.0
43,E10,0,0,0,69.3,-2.0
43,E10,0,0,0,64.35,5.0
21,E10,0,0,0,78.53999999999999,-2.0
59,E10,0,0,0,77.28,-2.0
58,E10,0,0,0,165.9,-3.0
47,E10,1,0,1,103.2,-2.0
26,E10,0,0,0,22.56,7.0
87,E10,0,0,0,474.23,1.5
58,E10,0,0,0,596.6199999999999,3.0
43,E10,0,0,0,63.080000000000005,5.5
50,E10,0,0,0,64.68,0.5
45,E10,0,0,0,59.2,5.0
41,E10,0,0,0,67.2,7.0
45,E10,0,0,0,63.13999999999999,-2.0
43,E10,0,0,0,64.0,6.0
37,E10,0,0,0,79.8,1.0
47,E10,0,0,0,58.519999999999996,-2.0
42,E10,0,0,0,60.8,5.0
30,E10,1,1,0,82.11,9.0
42,E10,0,0,0,64.0,7.0
40,E10,0,0,0,73.92,4.0
35,E10,0,0,0,67.08,6.0
50,E10,0,0,0,76.36,-3.0
46,SP98,0,0,0,78.69,6.0
36,SP98,0,1,0,77.28,4.0
46,SP98,0,0,0,65.6,5.0
35,SP98,0,0,0,65.2,-1.0
44,SP98,0,0,0,59.2,6.0
46,SP98,0,0,0,78.69,-1.0
23,SP98,0,0,1,23.400000000000002,-1.0
48,SP98,0,0,0,71.4,6.0
35,SP98,0,0,0,30.5,6.5
33,SP98,0,0,1,30.5,-2.0
36,SP98,0,0,0,72.66000000000001,0.0
27,SP98,0,0,0,28.799999999999997,5.0
45,SP98,0,0,0,65.6,7.0
55,SP98,0,0,0,75.46000000000001,4.0
39,SP98,0,0,0,66.22,-1.0
35,SP98,0,0,0,62.4,4.0
52,SP98,0,0,0,69.3,-4.0
48,SP98,1,0,1,68.06,-4.5
48,SP98,1,0,0,77.0,-5.5
43,SP98,1,0,0,64.0,1.0
42,SP98,0,0,0,69.3,-8.0
43,SP98,0,0,0,57.6,3.0
33,SP98,0,0,0,85.68999999999998,1.0
47,SP98,0,0,0,125.19,-4.0
16,SP98,1,0,0,100.98,-3.0
44,SP98,1,0,0,114.0,2.0
33,SP98,0,0,0,44.03,6.0
36,SP98,0,0,0,62.349999999999994,3.0
49,SP98,0,0,1,68.06,-4.0
39,SP98,1,0,0,71.28,7.5
44,SP98,0,0,1,63.459999999999994,1.5
52,SP98,0,0,0,41.5,-2.5
33,SP98,0,0,1,20.35,-3.5
33,SP98,0,0,1,50.32,-3.5
39,SP98,0,0,0,59.2,6.5
38,SP98,1,0,0,69.23,-6.0
45,SP98,0,0,0,60.8,6.0
42,SP98,1,0,0,70.83999999999999,-6.0
25,SP98,1,0,0,73.5,-5.0
