,distance,consume,speed,temp_inside,temp_outside,gas_type,ac,rain,sun,temp_difference
301,19.0,5.0,35,22.0,15,SP98,1,0,1,7.0
302,16.6,4.4,46,22.0,5,SP98,1,0,0,17.0
303,29.9,4.5,32,22.0,18,SP98,1,0,0,4.0
304,16.0,3.8,42,22.0,11,SP98,0,0,0,11.0
305,21.1,5.1,33,22.0,10,SP98,0,1,0,12.0
306,16.0,3.9,40,22.0,10,SP98,0,0,0,12.0
307,11.9,5.3,34,22.0,13,SP98,0,0,0,9.0
308,10.1,4.2,35,22.0,16,SP98,0,0,0,6.0
309,31.9,4.3,33,22.0,16,SP98,0,0,0,6.0
310,18.7,4.0,60,22.0,13,SP98,0,0,0,9.0
311,10.8,4.7,48,22.0,17,SP98,0,0,1,5.0
312,19.8,4.0,56,22.0,17,SP98,0,0,1,5.0
313,11.3,4.3,38,22.0,17,SP98,0,0,0,5.0
314,11.5,5.3,53,22.0,15,SP98,0,0,0,7.0
315,21.4,5.2,51,22.0,13,SP98,0,0,0,9.0
316,32.0,4.9,53,22.0,15,SP98,0,0,0,7.0
317,41.9,4.7,53,22.0,14,SP98,0,0,0,8.0
318,211.0,4.6,80,22.0,20,SP98,0,0,0,2.0
319,216.1,5.3,90,22.0,21,SP98,0,0,1,1.0
320,25.5,3.6,27,22.0,27,SP98,0,0,1,-5.0
321,16.6,4.2,52,22.0,15,SP98,0,1,0,7.0
322,25.9,4.1,43,22.0,24,SP98,0,0,0,-2.0
323,16.5,4.0,48,22.0,15,SP98,0,0,0,7.0
324,22.1,3.9,29,22.0,26,SP98,0,0,0,-4.0
325,16.6,3.7,49,22.0,17,E10,0,0,0,5.0
326,15.4,4.5,43,22.0,24,E10,0,0,0,-2.0
327,16.5,3.9,43,22.0,17,E10,0,0,0,5.0
328,15.4,5.1,21,22.0,24,E10,0,0,0,-2.0
329,18.4,4.2,59,22.0,24,E10,0,0,0,-2.0
330,39.5,4.2,58,22.0,25,E10,0,0,0,-3.0
331,21.5,4.8,47,25.0,27,E10,1,0,1,-2.0
332,4.8,4.7,26,25.0,18,E10,0,0,0,7.0
333,100.9,4.7,87,23.5,22,E10,0,0,0,1.5
334,129.7,4.6,58,24.0,21,E10,0,0,0,3.0
335,16.6,3.8,43,21.5,16,E10,0,0,0,5.5
336,15.4,4.2,50,21.5,21,E10,0,0,0,0.5
337,16.0,3.7,45,22.0,17,E10,0,0,0,5.0
338,16.0,4.2,41,22.0,15,E10,0,0,0,7.0
339,15.4,4.1,45,22.0,24,E10,0,0,0,-2.0
340,16.0,4.0,43,22.0,16,E10,0,0,0,6.0
341,21.0,3.8,37,22.0,21,E10,0,0,0,1.0
342,15.4,3.8,47,22.0,24,E10,0,0,0,-2.0
343,16.0,3.8,42,22.0,17,E10,0,0,0,5.0
344,16.1,5.1,30,25.0,16,E10,1,1,0,9.0
345,16.0,4.0,42,22.0,15,E10,0,0,0,7.0
346,15.4,4.8,40,22.0,18,E10,0,0,0,4.0
347,17.2,3.9,35,22.0,16,E10,0,0,0,6.0
348,16.6,4.6,50,22.0,25,E10,0,0,0,-3.0
349,18.3,4.3,46,22.0,16,SP98,0,0,0,6.0
350,16.1,4.8,36,22.0,18,SP98,0,1,0,4.0
351,16.0,4.1,46,22.0,17,SP98,0,0,0,5.0
352,16.3,4.0,35,22.0,23,SP98,0,0,0,-1.0
353,16.0,3.7,44,22.0,16,SP98,0,0,0,6.0
354,18.3,4.3,46,22.0,23,SP98,0,0,0,-1.0
355,4.5,5.2,23,22.0,23,SP98,0,0,1,-1.0
356,17.0,4.2,48,22.0,16,SP98,0,0,0,6.0
357,6.1,5.0,35,24.5,18,SP98,0,0,0,6.5
358,6.1,5.0,33,22.0,24,SP98,0,0,1,-2.0
359,17.3,4.2,36,22.0,22,SP98,0,0,0,0.0
360,6.0,4.8,27,22.0,17,SP98,0,0,0,5.0
361,16.0,4.1,45,22.0,15,SP98,0,0,0,7.0
362,15.4,4.9,55,22.0,18,SP98,0,0,0,4.0
363,15.4,4.3,39,22.0,23,SP98,0,0,0,-1.0
364,16.0,3.9,35,22.0,18,SP98,0,0,0,4.0
365,15.4,4.5,52,22.0,26,SP98,0,0,0,-4.0
366,16.6,4.1,48,25.5,30,SP98,1,0,1,-4.5
367,15.4,5.0,48,25.5,31,SP98,1,0,0,-5.5
368,16.0,4.0,43,22.0,21,SP98,1,0,0,1.0
369,15.4,4.5,42,22.0,30,SP98,0,0,0,-8.0
370,16.0,3.6,43,22.0,19,SP98,0,0,0,3.0
371,20.9,4.1,33,22.0,21,SP98,0,0,0,1.0
372,32.1,3.9,47,22.0,26,SP98,0,0,0,-4.0
373,15.3,6.6,16,24.0,27,SP98,1,0,0,-3.0
374,28.5,4.0,44,25.0,23,SP98,1,0,0,2.0
375,11.9,3.7,33,25.0,19,SP98,0,0,0,6.0
376,14.5,4.3,36,25.0,22,SP98,0,0,0,3.0
377,16.6,4.1,49,22.0,26,SP98,0,0,1,-4.0
378,16.2,4.4,39,24.5,17,SP98,1,0,0,7.5
379,16.7,3.8,44,24.5,23,SP98,0,0,1,1.5
380,8.3,5.0,52,24.5,27,SP98,0,0,0,-2.5
381,5.5,3.7,33,24.5,28,SP98,0,0,1,-3.5
382,13.6,3.7,33,24.5,28,SP98,0,0,1,-3.5
383,16.0,3.7,39,24.5,18,SP98,0,0,0,6.5
384,16.1,4.3,38,25.0,31,SP98,1,0,0,-6.0
385,16.0,3.8,45,25.0,19,SP98,0,0,0,6.0
386,15.4,4.6,42,25.0,31,SP98,1,0,0,-6.0
387,14.7,5.0,25,25.0,30,SP98,1,0,0,-5.0
