distance,consume,speed,speed_level,temp_inside,temp_outside,temp_level,gas_type,ac,rain,sun
18.1,3.6,36,Mid,20.0,19,Mid,SP98,0,0,0
25.9,3.7,39,Mid,20.0,21,Mid,SP98,0,0,0
1.3,11.5,21,Low,20.0,10,Cold,SP98,0,0,0
14.1,5.0,22,Low,20.0,12,Mid,SP98,0,0,0
13.4,5.5,31,Mid,20.0,9,Cold,SP98,0,0,0
6.4,4.7,33,Mid,20.0,8,Cold,SP98,0,0,0
12.9,4.5,42,Mid,20.0,13,Mid,SP98,0,0,0
12.1,4.4,33,Mid,22.5,5,Cold,SP98,0,0,0
15.7,4.1,32,Mid,22.5,13,Mid,SP98,0,0,0
16.2,4.4,26,Low,22.5,11,Mid,SP98,0,0,0
12.8,4.6,22,Low,22.5,12,Mid,SP98,0,0,0
19.0,4.4,58,Mid,22.5,17,Mid,SP98,0,0,1
29.0,4.0,27,Low,22.5,12,Mid,SP98,0,0,0
12.1,5.0,32,Mid,22.5,9,Cold,SP98,0,0,0
12.3,5.2,55,Mid,22.5,10,Cold,SP98,0,0,0
24.8,4.0,56,Mid,22.5,11,Mid,SP98,0,0,0
12.9,5.1,34,Mid,22.5,8,Cold,SP98,0,1,0
11.8,4.5,39,Mid,22.5,3,Cold,SP98,0,0,0
31.4,4.6,62,Mid,22.5,11,Mid,SP98,0,0,0
19.0,5.1,53,Mid,22.5,4,Cold,SP98,0,1,0
13.0,5.7,38,Mid,22.5,3,Cold,SP98,1,1,0
11.8,4.8,42,Mid,22.5,2,Cold,SP98,0,0,0
13.0,6.2,32,Mid,22.5,4,Cold,SP98,0,0,0
11.8,5.0,43,Mid,22.5,1,Cold,SP98,0,0,0
27.1,5.0,69,Mid,22.5,8,Cold,SP98,0,0,0
5.2,4.6,38,Mid,22.5,8,Cold,SP98,0,0,0
19.0,4.5,29,Low,22.5,10,Cold,E10,0,0,0
12.4,4.8,38,Mid,22.5,1,Cold,E10,0,0,0
25.2,5.0,55,Mid,22.5,9,Cold,E10,0,0,0
