distance,consume,speed,temp_inside,temp_outside,AC,rain,sun,refill_liters,specials,gas_type,refill_gas,fuel_price_liter,fuel_consume_km,trip_cost,cost_km
44.4,4.8,38,21.5,8,0,0,0,38.3,other,E10,E10,1.38,2.1311999999999998,4.542013439999999,0.10229759999999997
35.8,4.4,51,21.5,6,0,0,0,0.0,other,E10,E10,1.38,1.5752000000000002,2.4812550400000006,0.06930880000000002
11.8,4.9,44,21.5,0,0,0,0,0.0,other,E10,E10,1.38,0.5782,0.33431524000000007,0.028331800000000004
26.2,4.9,42,21.5,6,0,0,0,0.0,other,E10,E10,1.38,1.2838,1.6481424400000002,0.06290620000000001
40.6,4.4,44,21.0,3,0,0,0,0.0,other,E10,E10,1.38,1.7864000000000002,3.191224960000001,0.07860160000000002
12.4,5.3,38,21.0,-5,0,0,0,0.0,other,E10,E10,1.38,0.6572,0.43191184,0.0348316
14.1,5.3,47,21.0,-3,0,0,0,0.0,other,E10,E10,1.38,0.7472999999999999,0.5584572899999998,0.03960689999999999
58.7,4.8,75,21.0,0,0,0,0,0.0,other,E10,E10,1.38,2.8176,7.93886976,0.1352448
16.2,5.2,29,21.0,0,0,0,0,0.0,other,E10,E10,1.38,0.8423999999999999,0.7096377599999999,0.0438048
12.3,4.9,50,22.5,0,0,0,0,0.0,other,E10,E10,1.38,0.6027000000000001,0.36324729000000017,0.02953230000000001
12.3,7.1,52,22.5,0,1,1,0,0.0,AC snow,E10,E10,1.38,0.8733,0.7626528899999999,0.06200429999999999
12.4,5.2,51,22.5,1,0,0,0,0.0,other,E10,E10,1.38,0.6448,0.41576704000000003,0.0335296
31.8,4.7,59,22.5,3,0,0,0,0.0,other,E10,E10,1.38,1.4946000000000002,2.2338291600000004,0.07024620000000001
12.3,5.1,55,22.5,8,0,0,0,0.0,other,E10,E10,1.38,0.6273,0.39350528999999995,0.031992299999999994
51.6,5.0,73,22.5,12,0,0,0,0.0,other,E10,E10,1.38,2.58,6.6564000000000005,0.129
38.6,4.6,44,22.5,10,0,0,0,0.0,other,E10,E10,1.38,1.7756,3.1527553600000005,0.0816776
12.3,4.8,41,22.5,7,0,0,0,0.0,other,E10,E10,1.38,0.5904,0.34857216,0.0283392
81.2,4.4,69,22.0,13,0,0,0,0.0,other,E10,E10,1.38,3.5728000000000004,12.764899840000004,0.15720320000000004
130.3,4.6,85,22.0,12,0,0,0,0.0,other,E10,E10,1.38,5.9938,35.92563844,0.2757148
67.2,4.3,67,22.0,18,0,0,0,0.0,other,E10,E10,1.38,2.8895999999999997,8.34978816,0.12425279999999998
43.7,4.7,44,22.0,9,0,1,0,10.0,half rain half sun,SP98,SP98,1.46,2.0539,4.21850521,0.09653329999999999
12.1,4.2,43,22.0,4,0,0,0,39.0,other,SP98,SP98,1.46,0.5082,0.25826724,0.021344400000000003
56.1,4.8,82,22.0,13,0,0,0,0.0,other,SP98,SP98,1.46,2.6927999999999996,7.251171839999998,0.12925439999999996
39.0,4.1,61,22.0,16,0,0,0,0.0,other,SP98,SP98,1.46,1.5989999999999998,2.556800999999999,0.06555899999999998
11.8,4.5,41,21.5,13,0,0,0,0.0,other,SP98,SP98,1.46,0.531,0.281961,0.023895
38.5,4.8,63,21.5,14,0,0,0,0.0,other,SP98,SP98,1.46,1.8479999999999999,3.4151039999999995,0.08870399999999999
28.2,4.6,54,21.5,14,0,0,0,0.0,other,SP98,SP98,1.46,1.2972,1.6827278399999999,0.059671199999999994
2.9,7.4,24,21.5,14,0,0,0,0.0,other,SP98,SP98,1.46,0.2146,0.04605316,0.015880400000000003
6.1,5.6,24,21.5,13,0,0,0,0.0,other,SP98,SP98,1.46,0.34159999999999996,0.11669055999999997,0.019129599999999997
19.6,4.9,43,21.5,13,0,0,0,0.0,other,SP98,SP98,1.46,0.9604000000000003,0.9223681600000004,0.04705960000000002
22.2,3.8,42,0.0,15,0,0,0,0.0,other,SP98,SP98,1.46,0.8436,0.71166096,0.0320568
13.6,4.5,44,19.0,18,0,0,0,0.0,other,SP98,SP98,1.46,0.612,0.374544,0.02754
12.6,4.1,33,0.0,17,0,0,0,0.0,other,SP98,SP98,1.46,0.5166,0.26687555999999996,0.021180599999999997
8.7,5.3,28,22.5,12,1,1,0,0.0,AC rain,SP98,SP98,1.46,0.4610999999999999,0.2126132099999999,0.024438299999999993
7.9,4.7,31,22.5,12,1,0,0,0.0,AC,SP98,SP98,1.46,0.3713,0.13786369,0.0174511
2.4,9.0,26,20.0,10,0,0,0,0.0,other,SP98,SP98,1.46,0.21599999999999997,0.04665599999999999,0.019439999999999995
4.9,6.3,26,20.0,10,0,0,0,0.0,other,SP98,SP98,1.46,0.30870000000000003,0.09529569000000002,0.019448100000000003
18.1,3.6,36,20.0,19,0,0,0,0.0,other,SP98,SP98,1.46,0.6516000000000001,0.4245825600000001,0.023457600000000006
25.9,3.7,39,20.0,21,0,0,0,0.0,other,SP98,SP98,1.46,0.9582999999999999,0.9183388899999999,0.0354571
1.3,11.5,21,20.0,10,0,0,0,0.0,other,SP98,SP98,1.46,0.14950000000000002,0.022350250000000006,0.017192500000000003
14.1,5.0,22,20.0,12,0,0,0,0.0,other,SP98,SP98,1.46,0.705,0.49702499999999994,0.03525
13.4,5.5,31,20.0,9,0,0,0,0.0,other,SP98,SP98,1.46,0.737,0.543169,0.040535
6.4,4.7,33,20.0,8,0,0,0,0.0,other,SP98,SP98,1.46,0.3008,0.09048064,0.0141376
12.9,4.5,42,20.0,13,0,0,0,0.0,other,SP98,SP98,1.46,0.5805,0.33698025000000004,0.026122500000000003
12.1,4.4,33,22.5,5,0,0,0,0.0,other,SP98,SP98,1.46,0.5324,0.28344976,0.0234256
15.7,4.1,32,22.5,13,0,0,0,0.0,other,SP98,SP98,1.46,0.6436999999999999,0.41434968999999994,0.026391699999999997
16.2,4.4,26,22.5,11,0,0,0,0.0,other,SP98,SP98,1.46,0.7128,0.50808384,0.0313632
12.8,4.6,22,22.5,12,0,0,0,0.0,other,SP98,SP98,1.46,0.5888,0.34668544,0.0270848
19.0,4.4,58,22.5,17,0,0,1,0.0,sun,SP98,SP98,1.46,0.8360000000000001,0.6988960000000001,0.036784000000000004
29.0,4.0,27,22.5,12,0,0,0,0.0,other,SP98,SP98,1.46,1.16,1.3456,0.0464
12.1,5.0,32,22.5,9,0,0,0,0.0,other,SP98,SP98,1.46,0.605,0.366025,0.03025
12.3,5.2,55,22.5,10,0,0,0,0.0,other,SP98,SP98,1.46,0.6396000000000001,0.4090881600000001,0.0332592
