distance,consume,speed,temp_inside,temp_outside,AC,rain,sun,refill_liters,specials_AC rain,specials_AC snow,specials_AC sun,specials_other,specials_rain,specials_rain+sun,specials_snow,specials_sun,gas_type_SP98,refill_gas_SP98,refill_gas_no
26.6,4.8,38,21.5,7,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
53.2,5.1,71,21.5,2,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
18.9,4.4,53,21.5,2,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
43.5,5.0,80,21.5,3,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
6.1,6.3,26,21.5,5,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
16.4,4.8,49,21.5,5,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
12.3,6.1,40,21.5,6,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
21.1,4.6,36,21.5,8,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
21.1,4.8,43,21.5,7,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
22.7,4.7,55,21.5,6,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
44.4,4.8,38,21.5,8,0,0,0,38.3,0,0,0,1,0,0,0,0,0,0,0
35.8,4.4,51,21.5,6,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
11.8,4.9,44,21.5,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
26.2,4.9,42,21.5,6,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
40.6,4.4,44,21.0,3,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
12.4,5.3,38,21.0,-5,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
14.1,5.3,47,21.0,-3,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
58.7,4.8,75,21.0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
16.2,5.2,29,21.0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
12.3,4.9,50,22.5,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
12.3,7.1,52,22.5,0,1,1,0,0.0,0,1,0,0,0,0,0,0,0,0,1
12.4,5.2,51,22.5,1,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
31.8,4.7,59,22.5,3,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
12.3,5.1,55,22.5,8,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
51.6,5.0,73,22.5,12,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
38.6,4.6,44,22.5,10,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
12.3,4.8,41,22.5,7,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
81.2,4.4,69,22.0,13,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
130.3,4.6,85,22.0,12,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
67.2,4.3,67,22.0,18,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
43.7,4.7,44,22.0,9,0,1,0,10.0,0,0,0,0,0,1,0,0,1,1,0
12.1,4.2,43,22.0,4,0,0,0,39.0,0,0,0,1,0,0,0,0,1,1,0
56.1,4.8,82,22.0,13,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
39.0,4.1,61,22.0,16,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
11.8,4.5,41,21.5,13,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
38.5,4.8,63,21.5,14,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
28.2,4.6,54,21.5,14,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
2.9,7.4,24,21.5,14,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
6.1,5.6,24,21.5,13,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
19.6,4.9,43,21.5,13,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
22.2,3.8,42,21.93,15,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
13.6,4.5,44,19.0,18,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
12.6,4.1,33,21.93,17,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
8.7,5.3,28,22.5,12,1,1,0,0.0,1,0,0,0,0,0,0,0,1,0,1
7.9,4.7,31,22.5,12,1,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1
2.4,9.0,26,20.0,10,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
4.9,6.3,26,20.0,10,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
18.1,3.6,36,20.0,19,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
25.9,3.7,39,20.0,21,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
1.3,11.5,21,20.0,10,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
14.1,5.0,22,20.0,12,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
13.4,5.5,31,20.0,9,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
6.4,4.7,33,20.0,8,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
12.9,4.5,42,20.0,13,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
12.1,4.4,33,22.5,5,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
15.7,4.1,32,22.5,13,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
16.2,4.4,26,22.5,11,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
12.8,4.6,22,22.5,12,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
19.0,4.4,58,22.5,17,0,0,1,0.0,0,0,0,0,0,0,0,1,1,0,1
29.0,4.0,27,22.5,12,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
12.1,5.0,32,22.5,9,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
12.3,5.2,55,22.5,10,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
24.8,4.0,56,22.5,11,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
12.9,5.1,34,22.5,8,0,1,0,0.0,0,0,0,0,1,0,0,0,1,0,1
11.8,4.5,39,22.5,3,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
31.4,4.6,62,22.5,11,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
19.0,5.1,53,22.5,4,0,1,0,0.0,0,0,0,0,1,0,0,0,1,0,1
13.0,5.7,38,22.5,3,1,1,0,0.0,1,0,0,0,0,0,0,0,1,0,1
11.8,4.8,42,22.5,2,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
13.0,6.2,32,22.5,4,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
11.8,5.0,43,22.5,1,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
27.1,5.0,69,22.5,8,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
5.2,4.6,38,22.5,8,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
19.0,4.5,29,22.5,10,0,0,0,39.0,0,0,0,1,0,0,0,0,0,0,0
12.4,4.8,38,22.5,1,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
25.2,5.0,55,22.5,9,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
14.3,4.8,36,22.5,10,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
11.8,4.6,40,22.5,2,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
16.9,4.5,48,22.5,9,0,0,1,0.0,0,0,0,0,0,0,0,1,0,0,1
12.4,4.6,55,22.5,11,0,0,1,0.0,0,0,0,0,0,0,0,1,0,0,1
17.4,4.4,36,22.5,12,0,0,1,0.0,0,0,0,0,0,0,0,1,0,0,1
9.2,5.7,33,22.5,8,0,1,0,0.0,0,0,0,0,1,0,0,0,0,0,1
12.3,5.8,54,22.5,10,0,1,0,0.0,0,0,0,0,1,0,0,0,0,0,1
13.0,5.9,32,22.5,10,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
11.8,6.1,16,22.5,6,0,1,0,0.0,0,0,0,0,1,0,0,0,0,0,1
13.0,5.7,37,22.5,11,0,1,0,0.0,0,0,0,0,1,0,0,0,0,0,1
12.3,5.0,42,22.5,10,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
12.3,5.2,57,22.5,15,0,0,1,0.0,0,0,0,0,0,0,0,1,0,0,1
12.5,4.3,57,22.5,16,0,0,1,0.0,0,0,0,0,0,0,0,1,0,0,1
31.5,4.1,30,22.5,16,0,0,1,0.0,0,0,0,0,0,0,0,1,0,0,1
11.8,4.4,42,22.5,8,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
24.9,4.5,53,22.5,14,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
17.0,3.9,46,22.5,14,0,0,1,0.0,0,0,0,0,0,0,0,1,0,0,1
2.0,8.1,20,22.5,14,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
11.8,4.4,33,22.5,8,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
7.4,5.0,31,22.5,12,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
12.4,4.7,55,22.5,14,0,0,1,0.0,0,0,0,0,0,0,0,1,0,0,1
2.0,6.0,22,22.5,14,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
14.0,5.0,41,22.5,8,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
25.7,5.0,45,22.5,7,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
24.5,3.9,50,21.93,15,0,0,1,0.0,0,0,0,0,0,0,0,1,0,0,1
11.8,4.5,28,22.5,12,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
4.1,5.4,24,22.5,13,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
4.2,5.6,29,22.0,17,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
4.2,3.9,29,22.0,18,0,0,1,0.0,0,0,0,0,0,0,0,1,0,0,1
16.0,4.0,40,22.0,10,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
22.9,4.0,29,21.93,21,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
16.0,3.8,42,21.93,8,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
15.4,4.5,50,22.0,14,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
16.0,3.8,41,22.0,12,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
4.2,5.6,32,22.0,18,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
101.9,5.2,75,22.0,18,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
93.9,4.8,88,23.0,18,1,0,1,0.0,0,0,1,0,0,0,0,0,0,0,1
25.7,4.9,50,22.0,10,0,1,0,41.0,0,0,0,0,1,0,0,0,1,1,0
16.0,4.1,40,22.0,10,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
16.1,4.5,32,22.0,19,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
16.0,4.4,40,22.0,7,1,1,0,0.0,1,0,0,0,0,0,0,0,1,0,1
16.0,4.5,41,22.0,11,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
24.7,4.5,26,22.0,10,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
16.0,3.9,42,22.0,8,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
