distance;consume;speed;temp_inside;temp_outside;gas_type;ac;rain;sun;consumtion_per_trip;price_per_trip;price_per_km;consumption_per_km
44,4;4,8;38;21,5;8;E10;0;0;0;2,1311999999999998;2,9410559999999992;0,06623999999999998;0,047999999999999994
35,8;4,4;51;21,5;6;E10;0;0;0;1,5752000000000002;2,173776;0,06072000000000001;0,044000000000000004
11,8;4,9;44;21,5;0;E10;0;0;0;0,5782;0,797916;0,06761999999999999;0,049
26,2;4,9;42;21,5;6;E10;0;0;0;1,2838;1,771644;0,06762;0,049
40,6;4,4;44;21,0;3;E10;0;0;0;1,7864000000000002;2,4652320000000003;0,06072;0,044000000000000004
12,4;5,3;38;21,0;-5;E10;0;0;0;0,6572;0,906936;0,07314;0,053
14,1;5,3;47;21,0;-3;E10;0;0;0;0,7472999999999999;1,0312739999999998;0,07313999999999998;0,05299999999999999
58,7;4,8;75;21,0;0;E10;0;0;0;2,8176;3,8882879999999997;0,06624;0,048
16,2;5,2;29;21,0;0;E10;0;0;0;0,8423999999999999;1,1625119999999998;0,07175999999999999;0,052
12,3;4,9;50;22,5;0;E10;0;0;0;0,6027000000000001;0,8317260000000001;0,06762;0,04900000000000001
12,3;7,1;52;22,5;0;E10;1;1;0;0,8733;1,2051539999999998;0,09797999999999998;0,071
12,4;5,2;51;22,5;1;E10;0;0;0;0,6448;0,889824;0,07175999999999999;0,052000000000000005
31,8;4,7;59;22,5;3;E10;0;0;0;1,4946000000000002;2,062548;0,06486;0,04700000000000001
12,3;5,1;55;22,5;8;E10;0;0;0;0,6273;0,8656739999999999;0,07038;0,051
51,6;5,0;73;22,5;12;E10;0;0;0;2,58;3,5604;0,06899999999999999;0,05
38,6;4,6;44;22,5;10;E10;0;0;0;1,7756;2,450328;0,06348;0,046
12,3;4,8;41;22,5;7;E10;0;0;0;0,5904;0,814752;0,06624;0,048
81,2;4,4;69;22,0;13;E10;0;0;0;3,5728000000000004;4,930464000000001;0,06072;0,044000000000000004
130,3;4,6;85;22,0;12;E10;0;0;0;5,9938;8,271443999999999;0,06347999999999998;0,046
67,2;4,3;67;22,0;18;E10;0;0;0;2,8895999999999997;3,987647999999999;0,05933999999999998;0,043
43,7;4,7;44;22,0;9;SP98;0;1;0;2,0539;2,998694;0,06862;0,047
12,1;4,2;43;22,0;4;SP98;0;0;0;0,5082;0,741972;0,06132;0,042
56,1;4,8;82;22,0;13;SP98;0;0;0;2,6927999999999996;3,9314879999999994;0,07007999999999999;0,047999999999999994
39,0;4,1;61;22,0;16;SP98;0;0;0;1,5989999999999998;2,3345399999999996;0,05985999999999999;0,040999999999999995
11,8;4,5;41;21,5;13;SP98;0;0;0;0,531;0,7752600000000001;0,0657;0,045
38,5;4,8;63;21,5;14;SP98;0;0;0;1,8479999999999999;2,6980799999999996;0,07007999999999999;0,047999999999999994
28,2;4,6;54;21,5;14;SP98;0;0;0;1,2972;1,8939119999999998;0,06716;0,046
2,9;7,4;24;21,5;14;SP98;0;0;0;0,2146;0,31331600000000004;0,10804000000000001;0,07400000000000001
6,1;5,6;24;21,5;13;SP98;0;0;0;0,34159999999999996;0,4987359999999999;0,08175999999999999;0,055999999999999994
19,6;4,9;43;21,5;13;SP98;0;0;0;0,9604000000000003;1,4021840000000003;0,07154;0,04900000000000001
22,2;3,8;42;21,9;15;SP98;0;0;0;0,8436;1,231656;0,05548000000000001;0,038
13,6;4,5;44;19,0;18;SP98;0;0;0;0,612;0,89352;0,0657;0,045
12,6;4,1;33;21,9;17;SP98;0;0;0;0,5166;0,7542359999999999;0,05986;0,040999999999999995
8,7;5,3;28;22,5;12;SP98;1;1;0;0,4610999999999999;0,6732059999999999;0,07737999999999999;0,05299999999999999
7,9;4,7;31;22,5;12;SP98;1;0;0;0,3713;0,542098;0,06861999999999999;0,047
2,4;9,0;26;20,0;10;SP98;0;0;0;0,21599999999999997;0,31536;0,1314;0,09
4,9;6,3;26;20,0;10;SP98;0;0;0;0,30870000000000003;0,45070200000000005;0,09198;0,063
18,1;3,6;36;20,0;19;SP98;0;0;0;0,6516000000000001;0,9513360000000001;0,05256;0,036000000000000004
25,9;3,7;39;20,0;21;SP98;0;0;0;0,9582999999999999;1,3991179999999999;0,05402;0,037
1,3;11,5;21;20,0;10;SP98;0;0;0;0,14950000000000002;0,21827000000000002;0,16790000000000002;0,11500000000000002
14,1;5,0;22;20,0;12;SP98;0;0;0;0,705;1,0292999999999999;0,073;0,049999999999999996
13,4;5,5;31;20,0;9;SP98;0;0;0;0,737;1,07602;0,0803;0,055
6,4;4,7;33;20,0;8;SP98;0;0;0;0,3008;0,439168;0,06862;0,047
12,9;4,5;42;20,0;13;SP98;0;0;0;0,5805;0,84753;0,0657;0,045
12,1;4,4;33;22,5;5;SP98;0;0;0;0,5324;0,777304;0,06424;0,044
15,7;4,1;32;22,5;13;SP98;0;0;0;0,6436999999999999;0,9398019999999999;0,05986;0,040999999999999995
16,2;4,4;26;22,5;11;SP98;0;0;0;0,7128;1,040688;0,06424;0,044000000000000004
12,8;4,6;22;22,5;12;SP98;0;0;0;0,5888;0,859648;0,06716;0,046
19,0;4,4;58;22,5;17;SP98;0;0;1;0,8360000000000001;1,22056;0,06424;0,044000000000000004
29,0;4,0;27;22,5;12;SP98;0;0;0;1,16;1,6935999999999998;0,058399999999999994;0,039999999999999994
12,1;5,0;32;22,5;9;SP98;0;0;0;0,605;0,8833;0,073;0,05
12,3;5,2;55;22,5;10;SP98;0;0;0;0,6396000000000001;0,9338160000000001;0,07592;0,052000000000000005
24,8;4,0;56;22,5;11;SP98;0;0;0;0,992;1,44832;0,0584;0,04
12,9;5,1;34;22,5;8;SP98;0;1;0;0,6578999999999999;0,9605339999999999;0,07445999999999998;0,05099999999999999
11,8;4,5;39;22,5;3;SP98;0;0;0;0,531;0,7752600000000001;0,0657;0,045
31,4;4,6;62;22,5;11;SP98;0;0;0;1,4443999999999997;2,1088239999999994;0,06715999999999998;0,04599999999999999
19,0;5,1;53;22,5;4;SP98;0;1;0;0,9689999999999999;1,4147399999999997;0,07445999999999998;0,05099999999999999
13,0;5,7;38;22,5;3;SP98;1;1;0;0,7410000000000001;1,08186;0,08322;0,05700000000000001
11,8;4,8;42;22,5;2;SP98;0;0;0;0,5664;0,826944;0,07008;0,048
13,0;6,2;32;22,5;4;SP98;0;0;0;0,806;1,17676;0,09052;0,062000000000000006
11,8;5,0;43;22,5;1;SP98;0;0;0;0,59;0,8613999999999999;0,073;0,049999999999999996
27,1;5,0;69;22,5;8;SP98;0;0;0;1,355;1,9783;0,073;0,049999999999999996
5,2;4,6;38;22,5;8;SP98;0;0;0;0,23919999999999997;0,34923199999999993;0,06715999999999998;0,04599999999999999
19,0;4,5;29;22,5;10;E10;0;0;0;0,855;1,1799;0,062099999999999995;0,045
12,4;4,8;38;22,5;1;E10;0;0;0;0,5952;0,8213759999999999;0,06624;0,047999999999999994
25,2;5,0;55;22,5;9;E10;0;0;0;1,26;1,7388;0,06899999999999999;0,05
14,3;4,8;36;22,5;10;E10;0;0;0;0,6864;0,947232;0,06624;0,048
11,8;4,6;40;22,5;2;E10;0;0;0;0,5428000000000001;0,7490640000000001;0,06348;0,046
16,9;4,5;48;22,5;9;E10;0;0;1;0,7605;1,0494899999999998;0,062099999999999995;0,045
12,4;4,6;55;22,5;11;E10;0;0;1;0,5704;0,787152;0,06348;0,046
17,4;4,4;36;22,5;12;E10;0;0;1;0,7656000000000001;1,056528;0,06072;0,044000000000000004
9,2;5,7;33;22,5;8;E10;0;1;0;0,5244;0,7236719999999999;0,07866;0,057
12,3;5,8;54;22,5;10;E10;0;1;0;0,7134;0,9844919999999999;0,08003999999999999;0,057999999999999996
13,0;5,9;32;22,5;10;E10;0;0;0;0,767;1,05846;0,08141999999999999;0,059000000000000004
11,8;6,1;16;22,5;6;E10;0;1;0;0,7198;0,9933239999999999;0,08417999999999999;0,061
13,0;5,7;37;22,5;11;E10;0;1;0;0,7410000000000001;1,02258;0,07866000000000001;0,05700000000000001
12,3;5,0;42;22,5;10;E10;0;0;0;0,615;0,8486999999999999;0,06899999999999999;0,049999999999999996
12,3;5,2;57;22,5;15;E10;0;0;1;0,6396000000000001;0,882648;0,07175999999999999;0,052000000000000005
12,5;4,3;57;22,5;16;E10;0;0;1;0,5375;0,7417499999999999;0,05933999999999999;0,043
31,5;4,1;30;22,5;16;E10;0;0;1;1,2914999999999999;1,7822699999999996;0,056579999999999984;0,040999999999999995
11,8;4,4;42;22,5;8;E10;0;0;0;0,5192000000000001;0,7164960000000001;0,06072000000000001;0,044000000000000004
24,9;4,5;53;22,5;14;E10;0;0;0;1,1205;1,54629;0,0621;0,045000000000000005
17,0;3,9;46;22,5;14;E10;0;0;1;0,6629999999999999;0,9149399999999999;0,05381999999999999;0,03899999999999999
2,0;8,1;20;22,5;14;E10;0;0;0;0,162;0,22355999999999998;0,11177999999999999;0,081
11,8;4,4;33;22,5;8;E10;0;0;0;0,5192000000000001;0,7164960000000001;0,06072000000000001;0,044000000000000004
7,4;5,0;31;22,5;12;E10;0;0;0;0,37;0,5105999999999999;0,06899999999999999;0,049999999999999996
12,4;4,7;55;22,5;14;E10;0;0;1;0,5828;0,8042639999999999;0,06485999999999999;0,047
2,0;6,0;22;22,5;14;E10;0;0;0;0,12;0,16559999999999997;0,08279999999999998;0,06
14,0;5,0;41;22,5;8;E10;0;0;0;0,7;0,9659999999999999;0,06899999999999999;0,049999999999999996
25,7;5,0;45;22,5;7;E10;0;0;0;1,285;1,7732999999999997;0,06899999999999999;0,049999999999999996
24,5;3,9;50;21,9;15;E10;0;0;1;0,9555;1,31859;0,05382;0,039
11,8;4,5;28;22,5;12;E10;0;0;0;0,531;0,73278;0,062099999999999995;0,045
